#      Train        Test
     3.73233      5.14604 
     3.35723      4.98439 
     3.20994      4.84498 
     3.29812      4.62303 
     3.21605      5.20339 
     3.61069       5.3962 
     3.35787      4.84555 
      3.0978       5.2163 
     3.08477      5.01743 
     2.92747      4.83501 
     3.10238       5.6105 
     3.16661      5.05968 
     3.01796      4.72134 
     2.86574      4.59331 
     2.88895      5.11685 
     2.96544      5.36246 
     2.89353      5.04588 
     2.91862      4.61827 
     2.91565      4.75107 
     2.90581      4.86096 
     2.88632       4.7631 
     2.86146      4.88975 
     2.92832      4.98453 
     2.73041       5.2506 
     2.82789      4.67299 
     2.91437      4.70288 
     2.80801       4.3506 
     2.58983      4.70135 
     2.78101      4.76205 
     2.69249      5.22401 
     2.74859      4.77711 
     2.78648      4.69823 
     2.76749       4.3583 
     2.72991      4.74711 
     2.61513      5.50251 
     2.74787      4.97608 
     2.80998      4.55119 
     2.70599      5.03609 
     2.73475      4.96405 
     2.72549      5.20248 
     2.67186       4.8612 
     2.73564      5.16988 
     2.71101      4.91204 
     2.57619      4.22766 
     2.56854      4.34484 
     2.62223      4.60065 
     2.56255      4.30508 
     2.58805       4.2555 
     2.69577      4.51407 
     2.56494      4.70974 
