#      Train        Test
    0.961003     0.833333 
    0.968431     0.829545 
    0.964717     0.829545 
    0.959146     0.787879 
    0.955432     0.840909 
    0.961931     0.825758 
    0.975859     0.829545 
    0.970288     0.848485 
    0.968431     0.814394 
    0.959146     0.814394 
    0.970288     0.833333 
    0.975859     0.829545 
    0.967502     0.844697 
    0.970288     0.840909 
    0.970288     0.852273 
     0.97493     0.814394 
    0.978644     0.837121 
    0.968431     0.814394 
     0.97493     0.848485 
    0.967502     0.852273 
    0.977716     0.844697 
     0.97493     0.867424 
    0.975859     0.833333 
    0.972145     0.848485 
     0.97493     0.848485 
     0.97493     0.856061 
     0.97493     0.837121 
     0.97493     0.837121 
    0.973073     0.840909 
    0.977716     0.852273 
    0.980501     0.818182 
    0.970288     0.833333 
    0.982358     0.840909 
     0.97493     0.837121 
    0.979573     0.810606 
    0.976787     0.852273 
     0.98143     0.814394 
    0.976787     0.833333 
    0.978644     0.859848 
    0.977716     0.859848 
    0.972145     0.837121 
    0.975859     0.837121 
    0.976787     0.867424 
    0.980501     0.829545 
    0.975859     0.867424 
    0.979573     0.825758 
    0.979573     0.856061 
    0.979573     0.837121 
    0.976787     0.825758 
     0.98143     0.837121 
