#      Train        Test
      8.0703      7.79713 
     6.94945      7.68704 
      6.8058      7.78743 
     6.34209       8.8404 
     6.36305      7.31738 
     6.22778      7.80159 
      5.9924      8.34304 
     6.14302      9.07112 
      6.1678      7.17147 
      6.1287      6.57341 
     5.89721      7.78147 
     5.99235      7.27132 
     5.70476      7.36429 
     5.58768       6.9931 
     5.83901      6.93163 
     5.62219      6.86611 
      5.6399      6.59074 
     5.47167      6.54652 
     5.55295      6.73537 
      5.4429      7.13872 
     5.28968      6.11475 
     5.41706       6.6992 
     5.47708      6.88098 
     5.49229      6.57089 
     5.47241      6.47419 
     5.28396      6.74839 
     5.27027       6.0972 
      5.3201      6.49601 
     5.24323      6.44392 
     5.10563      6.01076 
     5.18201      6.46021 
     5.18784      6.17077 
     5.38752      6.23158 
     4.97019      5.90686 
     4.99046      5.92197 
     4.96493      5.63475 
     5.12932       6.3222 
     5.11662      6.14746 
     4.89803      5.85974 
     4.82283      6.46361 
     4.95996      5.89089 
     4.76885      6.04411 
     4.78352      6.12324 
      4.7822      5.80915 
     5.09874      6.20757 
     4.72513      6.24472 
     4.74556      6.25596 
     4.81291       6.6245 
     4.86298      5.76715 
     4.94191      5.86318 
      4.8225      6.43036 
     4.75437      5.98204 
     4.79459      6.36422 
     4.85387      5.73798 
     4.69449      5.88062 
     4.64245      6.37284 
     4.71317      6.35024 
     4.59136      5.75824 
     4.76427      6.01668 
     4.58717      5.92826 
      4.6239      7.19581 
     4.54532      6.25917 
     4.59501      5.40866 
     4.72835      6.05886 
     4.65457       6.3375 
     4.54125      5.85332 
     4.51239      5.48441 
     4.61631      5.66292 
     4.56799       5.5216 
      4.6414      5.77587 
     4.49985      5.81089 
     4.49448      5.51701 
     4.66825      5.82991 
     4.44927      5.89773 
     4.33234      5.33359 
     4.48494      6.15768 
     4.49198      6.34537 
     4.38089      6.67607 
     4.47418      5.56717 
     4.32742      5.58271 
     4.34867      6.20137 
     4.34018      6.01177 
      4.4243      5.92941 
     4.57182        5.952 
      4.5105      5.96035 
     4.29624      6.18305 
      4.3936       6.2513 
     4.36534      6.03449 
     4.12849      5.81117 
     4.25509      5.81106 
     4.30207      5.74808 
     4.12462      5.77605 
     4.46163      6.16303 
     4.22851      6.38246 
     4.23403      6.47494 
      4.4211      5.34754 
     4.29564      5.55381 
     4.24681      5.96211 
     4.25066      5.60934 
      4.1432      6.23462 
     4.25922      5.52927 
     4.23524      5.66622 
     4.19742      5.63978 
     4.32945       5.6979 
     4.12784      5.60337 
     4.18313      5.73142 
     4.08952      5.18407 
     4.22499      5.49919 
     3.98311      5.88161 
     4.09403      5.86467 
     3.99301      5.17541 
     4.15612      5.42975 
     4.09832       5.8444 
     4.04135      5.40999 
     4.09832      6.35881 
      4.0264       5.1883 
     3.85388      6.18561 
     4.04659      5.61818 
     3.91095      5.35737 
     4.07698      5.83337 
     3.98943      5.08245 
     3.96253      5.65409 
     3.98763      5.27979 
     4.02573       5.1571 
     4.11821      5.34422 
     4.02072      5.31133 
      3.9911      5.55749 
     4.06194        5.279 
      3.9068      5.39892 
     3.96767      5.90515 
     4.01423      5.65186 
     3.85449      5.16064 
     3.97428      5.70147 
     3.89776      6.19767 
     3.98153        5.943 
     4.00278      5.73075 
      4.0207      5.92932 
     4.05326      5.71434 
     3.82103      5.85915 
     3.86543      5.56521 
     3.81914      5.41908 
     3.92742      5.84274 
     3.85327      5.67893 
     3.86996      6.19241 
     3.97899      5.55373 
     3.78108      5.51149 
      3.9082      5.38519 
     3.91262      5.19134 
     3.81125      6.31712 
     3.84657       5.6247 
     3.81768      5.02192 
     3.78994      5.32771 
     3.73705      5.36384 
     3.77594      5.25049 
      3.6861      5.86559 
     3.70157      5.17756 
     3.75827      5.45149 
     3.73977      5.35212 
     3.76477      5.05396 
     3.80688      5.84905 
     3.79158       5.0055 
     3.77138       6.0906 
     3.76443      6.33222 
     3.81225      4.88498 
     3.66738      5.79838 
     3.71816      5.20486 
     4.02599      5.01225 
     3.71719      5.76171 
     3.65961      4.84091 
     3.75678      5.12276 
      3.7861       5.3131 
     3.55291      5.49924 
     3.62787      5.16873 
      3.7621      5.35916 
     3.74482      5.69936 
     3.52518      5.06834 
     3.67741      5.32168 
     3.77163      5.07915 
     3.70101      5.26331 
     3.63958      5.26349 
     3.53496      5.85174 
     3.69456      5.39429 
     3.72585      5.81847 
     3.64388      5.48367 
     3.64647      5.17378 
     3.71479      4.96846 
     3.74199      5.21976 
      3.7225      4.59689 
     3.50723      5.07137 
     3.68364      5.14547 
     3.62526      5.05132 
     3.55804      5.04806 
     3.55209      6.12607 
     3.53776      5.34132 
     3.53978      5.11531 
     3.62015      5.29072 
     3.50431      4.88993 
     3.47537      5.36749 
     3.62918      4.73777 
     3.64921      5.07568 
