#      Train        Test
    0.636955     0.541667 
    0.654596     0.587121 
    0.662953     0.606061 
    0.674095     0.545455 
    0.677809     0.587121 
    0.701021     0.602273 
    0.704735     0.643939 
     0.71402     0.579545 
    0.705664     0.583333 
     0.70195     0.666667 
    0.693593     0.583333 
    0.717734     0.647727 
    0.735376     0.587121 
    0.750232     0.662879 
    0.747447     0.651515 
    0.731662      0.67803 
    0.741876     0.632576 
    0.748375     0.659091 
    0.756732     0.681818 
    0.770659     0.609848 
    0.772516     0.708333 
    0.751161     0.674242 
    0.751161     0.662879 
    0.769731     0.655303 
     0.75766     0.704545 
    0.761374      0.67803 
    0.784587     0.704545 
    0.766945     0.681818 
    0.772516      0.69697 
    0.775302     0.700758 
    0.770659     0.700758 
     0.78273      0.69697 
    0.787372      0.67803 
    0.796657     0.723485 
    0.805942     0.715909 
    0.779944      0.69697 
    0.778087     0.704545 
    0.772516      0.69697 
    0.807799     0.723485 
    0.783658     0.681818 
    0.809656     0.734848 
    0.815227     0.693182 
    0.793872     0.704545 
    0.817084     0.708333 
    0.788301     0.689394 
    0.817084     0.723485 
    0.792943     0.689394 
     0.81337     0.727273 
    0.812442     0.715909 
    0.802228     0.734848 
    0.823584         0.75 
    0.821727     0.708333 
    0.806871     0.670455 
    0.799443     0.738636 
    0.832869     0.693182 
    0.825441     0.734848 
    0.810585     0.742424 
    0.830084     0.734848 
    0.804085     0.670455 
    0.827298     0.712121 
    0.803157     0.712121 
    0.827298     0.715909 
    0.833798     0.738636 
    0.825441     0.723485 
     0.81987     0.712121 
    0.828227     0.731061 
    0.836583     0.738636 
    0.818013     0.765152 
    0.823584     0.715909 
    0.839369     0.693182 
    0.816156     0.780303 
    0.829155     0.723485 
    0.820799     0.715909 
    0.836583     0.731061 
    0.832869         0.75 
    0.828227     0.757576 
    0.827298     0.712121 
    0.832869     0.738636 
    0.837512         0.75 
    0.843083     0.776515 
    0.835655     0.715909 
    0.843083     0.719697 
    0.828227     0.734848 
    0.816156     0.731061 
    0.830084     0.734848 
    0.843083     0.723485 
    0.836583     0.693182 
    0.835655     0.727273 
    0.856082     0.753788 
    0.849582      0.69697 
     0.81987     0.734848 
     0.83844     0.742424 
    0.840297     0.768939 
    0.860724         0.75 
    0.847725     0.723485 
    0.828227     0.768939 
    0.856082     0.723485 
     0.82637         0.75 
    0.828227     0.753788 
    0.840297     0.723485 
    0.846797     0.738636 
    0.831941     0.738636 
    0.837512     0.738636 
    0.836583     0.787879 
    0.828227     0.742424 
    0.842154     0.765152 
    0.859796     0.746212 
     0.86351     0.761364 
    0.855153     0.780303 
    0.841226     0.772727 
    0.846797     0.746212 
    0.847725     0.746212 
    0.851439     0.731061 
    0.852368     0.734848 
    0.861653     0.746212 
    0.860724     0.712121 
    0.872795     0.746212 
    0.852368         0.75 
    0.858867     0.784091 
    0.851439     0.772727 
     0.85701     0.753788 
    0.853296     0.715909 
    0.849582     0.765152 
    0.862581     0.731061 
    0.856082     0.742424 
    0.854225     0.761364 
    0.843083     0.761364 
    0.856082     0.768939 
    0.850511     0.761364 
     0.85701     0.712121 
    0.855153         0.75 
    0.858867     0.768939 
    0.839369     0.723485 
     0.88208     0.780303 
    0.843083     0.700758 
    0.857939     0.768939 
    0.853296     0.746212 
     0.85701     0.746212 
    0.861653     0.753788 
    0.845868     0.727273 
    0.862581     0.727273 
    0.855153     0.761364 
    0.865367     0.734848 
    0.867224     0.765152 
    0.846797     0.780303 
    0.865367         0.75 
    0.849582     0.734848 
     0.85701     0.742424 
    0.866295     0.704545 
    0.851439     0.746212 
    0.848654     0.772727 
     0.85701     0.723485 
    0.878366     0.738636 
     0.86351     0.746212 
    0.859796     0.765152 
    0.851439     0.795455 
    0.869081     0.768939 
    0.878366     0.784091 
    0.861653     0.776515 
    0.860724     0.727273 
    0.859796     0.795455 
    0.874652     0.753788 
     0.86351     0.772727 
    0.860724     0.753788 
    0.870009     0.768939 
    0.869081     0.761364 
    0.879294     0.757576 
    0.861653     0.731061 
    0.870938     0.746212 
    0.866295     0.787879 
    0.876509     0.765152 
    0.883937     0.757576 
    0.883937     0.776515 
    0.858867     0.719697 
    0.858867     0.772727 
    0.884865     0.780303 
    0.864438     0.780303 
    0.851439     0.791667 
    0.869081     0.757576 
    0.858867     0.768939 
    0.880223     0.776515 
    0.864438     0.772727 
    0.861653     0.765152 
    0.877437     0.768939 
    0.870009     0.765152 
    0.866295     0.761364 
    0.866295     0.738636 
    0.878366     0.784091 
    0.886722     0.761364 
    0.852368     0.757576 
    0.866295     0.787879 
    0.868152     0.780303 
    0.858867     0.727273 
    0.879294     0.776515 
    0.876509     0.765152 
    0.889508     0.776515 
    0.870009     0.780303 
    0.887651     0.765152 
    0.865367     0.791667 
    0.870938     0.753788 
