#      Train        Test
     5.09786      6.29804 
     4.98652      6.31446 
     4.86951      6.13656 
     4.55395      5.21669 
     4.73304      6.22143 
     4.59613      6.00307 
     4.42183      5.63586 
     4.23629      6.02642 
     4.26444      5.81623 
     4.37543       5.8668 
     4.28169      5.38054 
     4.25638      5.86317 
     4.18092      5.47659 
     4.14736      5.67777 
     4.09304      5.00084 
     3.89351       6.0683 
     3.99632      5.53443 
     4.08707      5.56821 
     4.11734      5.79056 
     3.87066      4.80052 
     3.87665      5.51346 
     4.00597      5.45742 
     3.96698      5.71754 
     3.79997      5.33429 
     3.72992      5.79703 
     3.87858      6.02027 
     3.70623      5.13921 
     3.82265      5.31989 
     3.64807      5.33819 
     3.61811       5.8263 
     3.77574      5.76459 
     3.81654      5.34616 
      3.6543       4.9848 
     3.64682      5.25857 
      3.8102      5.20272 
     3.73741      4.95773 
     3.60468       5.7164 
     3.46174      4.88389 
      3.4602       4.9238 
     3.52807      5.24121 
     3.46903      4.96437 
      3.5715      5.38525 
     3.41485      4.89322 
     3.52304      4.70419 
     3.35735      5.51186 
     3.44507      4.58246 
     3.46741      5.23123 
     3.31219      4.83098 
     3.53082      4.68286 
     3.56016      5.06356 
