window,dropped_frame,accuracy,threshold
2,644.58,91.667,15
2,393.94,92.045,10
2,913.73,90.90899999999999,20
2,1188.36,89.015,25
2,1435.64,86.36399999999999,30
2,1722.27,86.36399999999999,35
3,340.0,92.045,10
3,1605.86,87.87899999999999,35
2,2588.85,78.788,50
2,2007.39,85.227,40
2,2304.12,85.60600000000001,45
3,816.5,91.667,20
3,1068.27,90.152,25
3,560.45,91.667,15
3,1885.32,87.12100000000001,40
3,2148.36,82.955,45
3,1297.05,90.53,30
3,2432.77,82.955,50
4,289.94,92.42399999999999,10
4,504.0,92.045,15
4,725.27,91.667,20
4,1008.61,90.152,25
4,1261.64,89.39399999999999,30
4,1514.36,89.39399999999999,35
4,1787.58,85.227,40
5,254.7,92.42399999999999,10
5,464.7,91.667,15
4,2328.48,84.47,50
5,1443.26,89.39399999999999,35
5,704.09,91.288,20
5,953.26,91.667,25
4,2053.58,85.60600000000001,45
5,1190.08,89.39399999999999,30
5,1694.47,87.5,40
5,1995.23,87.12100000000001,45
5,2301.06,82.57600000000001,50
6,232.82,92.803,10
6,425.91,92.045,15
6,652.45,92.045,20
6,868.09,90.152,25
6,1144.09,89.015,30
6,1394.91,87.87899999999999,35
6,1646.64,87.12100000000001,40
6,1936.73,86.74199999999999,45
7,218.27,92.803,10
6,2232.36,84.848,50
7,832.68,92.42399999999999,25
7,401.44,92.803,15
7,1091.36,90.53,30
7,616.74,91.288,20
7,1357.05,89.015,35
7,1642.24,88.25800000000001,40
7,2159.29,85.227,50
7,1900.29,84.848,45
8,199.15,93.182,10
8,379.52,92.803,15
8,577.7,92.045,20
8,830.55,91.288,25
8,1026.67,90.53,30
8,1332.97,88.63600000000001,35
8,1599.15,87.87899999999999,40
9,185.45,92.42399999999999,10
8,2131.15,85.985,50
8,1846.55,85.227,45
9,567.55,90.90899999999999,20
9,1032.82,89.773,30
9,768.41,91.288,25
9,369.14,92.803,15
9,1306.09,88.63600000000001,35
9,1510.91,89.773,40
9,1803.14,86.36399999999999,45
9,2093.18,83.333,50
