window,dropped_frame,accuracy,threshold
2,1933.67,91.288,15
2,2746.79,90.152,20
2,1149.15,92.045,10
4,7056.61,85.227,45
4,5299.58,88.25800000000001,35
4,6201.27,83.712,40
4,3473.76,90.53,25
3,1138.27,92.803,10
2,4627.64,88.25800000000001,30
2,5521.15,87.5,35
2,3706.48,90.152,25
4,2682.3,89.773,20
3,3635.73,88.63600000000001,25
3,2805.18,90.152,20
3,5407.14,86.74199999999999,35
3,1931.18,91.288,15
3,4624.09,89.015,30
3,6353.0,84.47,40
2,6426.88,85.60600000000001,40
2,7276.36,78.788,45
2,8142.79,78.40899999999999,50
4,4395.52,87.87899999999999,30
5,4280.15,88.63600000000001,30
5,1064.92,92.42399999999999,10
5,2642.12,91.288,20
5,1879.77,90.90899999999999,15
6,1027.18,91.667,10
4,7989.64,81.061,50
5,3484.02,89.39399999999999,25
5,5171.59,87.5,35
5,7760.83,82.57600000000001,50
6,2593.45,90.90899999999999,20
5,6001.97,85.60600000000001,40
6,1799.27,93.182,15
6,3381.0,90.90899999999999,25
7,990.39,92.42399999999999,10
6,5049.64,85.60600000000001,35
5,6826.74,84.848,45
6,4264.82,89.773,30
6,5924.09,86.74199999999999,40
6,7646.91,81.818,50
6,6739.82,85.227,45
7,1742.05,91.288,15
7,2489.35,90.152,20
7,3275.36,89.773,25
7,4901.06,86.36399999999999,35
7,4148.14,89.39399999999999,30
8,949.09,92.42399999999999,10
8,2394.42,90.152,20
7,5780.83,84.09100000000001,40
7,6620.73,83.333,45
8,1695.03,90.53,15
7,7405.89,82.197,50
9,896.45,92.42399999999999,10
8,3232.61,90.53,25
8,4010.79,89.39399999999999,30
8,6520.36,84.47,45
8,4815.39,87.12100000000001,35
9,2352.41,90.53,20
9,1602.95,91.288,15
9,3162.68,89.39399999999999,25
8,5642.79,86.36399999999999,40
8,7344.61,83.333,50
9,3905.32,87.12100000000001,30
9,4787.59,86.36399999999999,35
9,5479.64,85.985,40
9,6410.73,84.09100000000001,45
9,7347.82,83.712,50
4,1929.76,91.288,15
4,1091.7,91.667,10
3,8066.82,82.57600000000001,50
3,7169.23,82.57600000000001,45
