window,dropped_frame,accuracy,threshold
2,1523.97,92.045,10
2,2349.61,89.773,15
2,3153.03,89.773,20
3,1350.77,92.045,10
2,3944.61,86.74199999999999,25
3,2126.09,90.53,15
2,4778.76,85.985,30
2,6658.3,82.197,40
4,1243.03,92.42399999999999,10
3,3620.18,87.87899999999999,25
2,5618.06,84.47,35
3,4405.55,85.60600000000001,30
2,8520.09,77.273,50
2,7573.91,80.682,45
3,5199.05,84.848,35
3,6182.73,82.955,40
3,2883.32,89.39399999999999,20
3,7093.05,81.439,45
3,8019.23,78.03,50
4,1984.79,90.90899999999999,15
4,2696.97,89.39399999999999,20
4,3405.39,89.015,25
4,4162.48,86.36399999999999,30
4,4933.33,86.36399999999999,35
5,1168.03,91.667,10
4,5873.88,83.712,40
5,2562.8,89.773,20
5,3989.09,88.25800000000001,30
4,6750.0,83.712,45
5,1870.68,91.288,15
5,4742.95,86.36399999999999,35
5,3259.32,89.015,25
4,7666.91,79.167,50
6,1099.91,92.42399999999999,10
5,6501.29,82.57600000000001,45
5,7404.7,81.439,50
6,1781.73,92.045,15
5,5652.65,84.09100000000001,40
6,2462.27,90.152,20
6,3137.82,89.39399999999999,25
6,3851.91,87.87899999999999,30
7,1050.74,92.045,10
6,4590.0,86.36399999999999,35
6,5463.36,84.09100000000001,40
7,2377.45,90.90899999999999,20
7,1719.56,91.288,15
6,7198.09,82.197,50
7,3734.39,88.25800000000001,30
7,5330.61,85.60600000000001,40
6,6322.64,82.57600000000001,45
7,3048.61,90.152,25
7,4476.39,86.74199999999999,35
8,1000.0,92.045,10
7,6168.17,83.333,45
8,1652.85,91.288,15
8,2299.39,90.90899999999999,20
7,7046.77,82.57600000000001,50
8,2946.06,90.152,25
8,3624.12,89.015,30
8,4348.0,85.985,35
8,5198.91,85.985,40
9,951.27,92.42399999999999,10
8,6030.91,84.47,45
9,1593.95,91.288,15
9,2871.27,89.773,25
9,2231.18,90.53,20
8,6898.55,81.818,50
9,3548.32,89.015,30
9,5093.86,86.36399999999999,40
9,4245.27,88.63600000000001,35
9,5906.32,82.955,45
9,6760.5,83.333,50
