window,dropped_frame,accuracy,threshold
5,833.48,0.92,23
5,776.67,0.92,22
5,712.5,0.92,21
3,848.0,0.92,21
2,967.12,0.92,21
2,1009.73,0.92,22
2,1128.85,0.92,24
5,678.03,0.92,20
3,788.82,0.92,20
3,886.32,0.92,22
4,874.67,0.92,23
2,902.73,0.92,20
2,1064.58,0.92,23
4,753.52,0.92,21
3,995.18,0.92,24
4,926.91,0.92,24
4,820.06,0.92,22
4,720.67,0.92,20
3,950.59,0.92,23
5,866.06,0.92,24
6,633.64,0.92,20
6,697.64,0.92,21
7,605.61,0.92,20
6,733.36,0.92,22
6,844.55,0.92,24
6,772.0,0.92,23
7,714.64,0.92,22
8,621.33,0.92,21
7,821.97,0.92,24
7,765.97,0.92,23
7,666.7,0.92,21
8,724.85,0.92,23
8,569.94,0.92,20
8,643.52,0.92,22
8,759.03,0.92,24
9,554.05,0.92,20
9,597.95,0.92,21
9,641.05,0.92,22
9,684.95,0.92,23
9,752.73,0.92,24
