window,dropped_frame,accuracy,threshold
3,1846.5,92.05,40
3,2131.73,92.05,45
3,1598.82,92.05,35
3,2455.68,92.05,50
3,1050.86,92.05,25
2,1170.76,92.05,25
3,1314.0,92.05,30
2,913.21,92.05,20
2,399.64,92.05,10
2,644.91,92.05,15
3,545.82,92.05,15
3,335.0,92.05,10
2,1729.0,92.05,35
2,2598.64,92.05,50
2,1450.42,92.05,30
3,786.91,92.05,20
2,2296.48,92.05,45
2,1989.61,92.05,40
4,507.76,92.05,15
4,285.52,92.05,10
4,987.33,92.05,25
4,740.97,92.05,20
4,1232.36,92.05,30
4,1759.76,92.05,40
4,1526.61,92.05,35
4,2054.73,92.05,45
4,2342.0,92.05,50
5,258.48,92.05,10
5,944.55,92.05,25
5,677.27,92.05,20
5,457.95,92.05,15
5,1175.76,92.05,30
5,1714.55,92.05,40
5,2277.27,92.05,50
5,1424.62,92.05,35
5,1984.02,92.05,45
6,410.45,92.05,15
6,241.55,92.05,10
6,636.09,92.05,20
6,892.82,92.05,25
