#      Train        Test
    0.951718     0.833333 
    0.951718     0.882576 
    0.961003     0.897727 
    0.970288        0.875 
    0.969359     0.856061 
    0.966574     0.886364 
    0.961003     0.867424 
    0.960074     0.909091 
    0.964717     0.882576 
    0.961931     0.882576 
    0.971216     0.909091 
    0.965645     0.859848 
    0.964717     0.878788 
    0.964717     0.882576 
    0.972145     0.886364 
    0.960074     0.893939 
    0.976787     0.871212 
    0.972145     0.867424 
    0.977716        0.875 
    0.967502     0.867424 
    0.979573        0.875 
    0.975859     0.856061 
    0.972145     0.886364 
     0.97493        0.875 
    0.972145     0.890152 
     0.97493     0.882576 
    0.976787     0.867424 
    0.975859     0.886364 
    0.969359     0.871212 
    0.983287     0.867424 
    0.975859     0.890152 
    0.974002     0.871212 
     0.97493     0.859848 
     0.98143     0.848485 
    0.976787     0.878788 
    0.974002        0.875 
    0.976787     0.878788 
    0.980501        0.875 
    0.972145     0.886364 
    0.973073     0.886364 
    0.973073     0.867424 
    0.972145     0.878788 
    0.976787     0.871212 
    0.977716     0.886364 
    0.976787     0.893939 
    0.980501     0.901515 
    0.982358     0.878788 
    0.979573     0.886364 
    0.973073     0.878788 
    0.979573     0.878788 
