#      Train        Test
     2.45404       4.7505 
     2.29564      3.56391 
     2.38817      3.93071 
     2.35971      4.17795 
     2.17148      4.09531 
     2.29575      3.72739 
     2.25398      3.99477 
      2.2028      3.69749 
     2.12769      4.17133 
     2.18356      3.78579 
     1.99642      4.19204 
     2.13374      4.36877 
     2.15985      4.29172 
     2.13075      3.63771 
     2.10854      4.36791 
     2.14662      4.31791 
     1.97635      4.26095 
     2.04251      3.85014 
     1.96477        3.773 
     2.07151      4.03205 
     2.04555      4.15291 
     2.00712      4.61221 
     1.87948       4.1387 
     1.94073      4.35648 
     1.98753      4.43563 
     1.87453      4.40598 
     1.95787      4.22109 
     1.90698      4.08652 
      1.9146      4.34671 
     1.91515      4.66117 
     1.95613      4.27449 
     1.88034      4.42008 
     1.98087      4.50281 
     1.82563      4.78015 
     1.91542      4.43502 
     1.85879      4.07305 
     1.84844      4.28377 
     1.87936      4.78302 
     1.88765      4.39962 
     1.84689      4.75807 
     1.87241      4.68382 
     1.97439      4.32405 
      1.8238      4.23083 
     1.79171      4.57244 
     1.90861      4.55685 
     1.75736      4.34949 
     1.74268      4.32151 
     1.78376      4.60326 
     1.79588      4.88179 
      1.8268      4.78548 
