      Train        Test
    0.881151     0.761364 
    0.904364     0.768939 
    0.897864     0.761364 
    0.899721     0.795455 
    0.906221     0.799242 
    0.902507     0.746212 
    0.909006     0.787879 
    0.922006      0.80303 
    0.927577     0.753788 
    0.921077     0.818182 
    0.935933     0.776515 
    0.920149     0.787879 
     0.91922     0.799242 
    0.931291     0.791667 
    0.926648     0.746212 
    0.934076     0.825758 
    0.928505     0.795455 
    0.923863     0.814394 
    0.929434     0.799242 
    0.931291     0.787879 
    0.935005     0.795455 
    0.929434     0.799242 
    0.928505     0.810606 
    0.942433     0.776515 
     0.93779     0.768939 
    0.931291     0.833333 
    0.929434      0.82197 
    0.942433     0.791667 
    0.935005     0.772727 
    0.933148     0.776515 
    0.931291     0.806818 
    0.924791     0.776515 
    0.930362     0.810606 
    0.935005     0.776515 
    0.951718     0.784091 
    0.928505     0.780303 
    0.935933     0.806818 
    0.928505     0.818182 
    0.943361     0.806818 
    0.938719     0.810606 
    0.934076      0.80303 
    0.930362     0.814394 
     0.93779     0.787879 
    0.941504      0.80303 
    0.941504     0.825758 
    0.947075     0.787879 
    0.935933     0.795455 
    0.943361     0.799242 
    0.926648     0.787879 
    0.939647     0.795455 
