      Train        Test
    0.490251     0.606061 
    0.638812      0.67803 
    0.675023     0.712121 
    0.700093     0.761364 
    0.689879     0.719697 
    0.725162     0.723485 
    0.741876     0.746212 
    0.740947     0.753788 
     0.76416     0.727273 
    0.748375     0.734848 
    0.759517     0.753788 
     0.77623     0.753788 
    0.760446     0.757576 
    0.805014     0.768939 
    0.784587     0.746212 
    0.798514     0.757576 
    0.775302     0.761364 
      0.8013     0.784091 
    0.814299     0.768939 
    0.805014     0.738636 
     0.81337     0.757576 
    0.825441     0.768939 
    0.816156     0.761364 
    0.808728     0.757576 
    0.808728     0.731061 
