#      Train        Test
     5.87909      5.26711 
     4.92697       5.6439 
     4.68911       5.8808 
     4.38725      4.65144 
     4.06599      4.71404 
     3.92181      4.70336 
     3.79542      4.59591 
     3.61602       4.2606 
     3.60603      4.60603 
     3.46564      4.19274 
     3.39871      4.12491 
     3.32183      4.10105 
     3.30364      3.73685 
     3.20048      3.71824 
     3.25395      4.39131 
     3.22222      3.58618 
     3.15123      3.74333 
     3.13094      4.10597 
     3.01449      3.71621 
     3.04881      3.89661 
     3.01386      3.44848 
     2.90182      4.16108 
     2.83015      3.77707 
     2.75998      3.80206 
     2.75721      3.72906 
