#      Train        Test
    0.655525     0.655303 
    0.734448     0.757576 
    0.781801     0.719697 
    0.818942     0.818182 
    0.840297     0.765152 
    0.848654     0.844697 
    0.859796     0.810606 
    0.871866     0.810606 
    0.886722     0.818182 
    0.893222     0.799242 
    0.887651     0.852273 
    0.903435     0.784091 
    0.896007     0.833333 
     0.89415     0.837121 
    0.890436     0.837121 
    0.899721     0.859848 
    0.891365     0.829545 
    0.906221     0.833333 
    0.899721     0.799242 
    0.909006     0.829545 
    0.906221     0.837121 
    0.912721     0.856061 
    0.912721     0.833333 
    0.913649     0.829545 
    0.922006      0.82197 
