#      Train        Test
     5.65114       5.8567 
     4.42396      5.34483 
     3.89451      4.52064 
     3.75133      4.74879 
     3.53651      4.44471 
     3.34642      4.97811 
     3.37806      4.70014 
     3.24066      3.68035 
      3.2286      4.09574 
     3.05902      3.81136 
     2.80356      3.77539 
     2.98614      3.93475 
     2.96209      4.51971 
     2.94677      4.28268 
     2.79362       3.9027 
      2.8557       4.1099 
     2.72869       4.3481 
     2.77024      4.00665 
     2.60991      3.49108 
     2.65951      3.42389 
     2.62588      3.43188 
     2.58532       3.7218 
     2.61795      3.76567 
     2.45848      3.72728 
     2.41301      3.85947 
