      Train        Test
    0.705664     0.712121 
    0.814299     0.761364 
    0.841226     0.787879 
    0.871866     0.810606 
    0.879294     0.795455 
    0.876509     0.810606 
    0.889508     0.768939 
    0.896007      0.82197 
    0.886722     0.844697 
    0.887651     0.856061 
    0.920149     0.837121 
    0.915506     0.780303 
    0.915506     0.825758 
    0.915506     0.856061 
    0.922006     0.825758 
    0.913649     0.871212 
    0.920149     0.848485 
    0.930362     0.818182 
    0.931291     0.848485 
    0.921077     0.833333 
    0.926648     0.856061 
    0.933148     0.833333 
    0.931291     0.799242 
     0.93779     0.844697 
    0.936862     0.844697 
