      Train        Test
    0.352832     0.492424 
    0.535747     0.590909 
    0.561746     0.598485 
    0.603528     0.640152 
    0.623955     0.643939 
    0.607242     0.575758 
     0.62117     0.640152 
    0.637883     0.583333 
    0.647168     0.632576 
    0.645311     0.613636 
    0.668524     0.659091 
    0.700093     0.621212 
    0.685237     0.636364 
    0.704735     0.674242 
    0.709378     0.674242 
    0.690808     0.655303 
    0.730734     0.689394 
    0.746518     0.704545 
    0.753018     0.670455 
    0.729805     0.689394 
    0.761374     0.712121 
    0.766945     0.704545 
    0.756732     0.719697 
     0.74559     0.708333 
    0.763231     0.757576 
