      Train        Test
    0.189415      0.42803 
    0.460539     0.496212 
    0.506964     0.568182 
     0.57753     0.587121 
    0.580316      0.55303 
    0.588672     0.537879 
    0.579387     0.628788 
      0.5961     0.636364 
    0.612813      0.55303 
      0.6026     0.606061 
    0.625812     0.662879 
    0.652739     0.659091 
    0.649954     0.636364 
    0.654596     0.659091 
    0.661096     0.636364 
    0.675023     0.685606 
     0.68338     0.685606 
    0.679666     0.708333 
    0.704735     0.715909 
    0.703807     0.640152 
    0.709378     0.693182 
    0.734448      0.67803 
    0.721448     0.689394 
    0.726091     0.651515 
    0.723305      0.69697 
