#      Train        Test
       8.411      7.31678 
     7.28402      6.65453 
     6.80041      6.44511 
     6.57187      6.08704 
     6.36754      5.95611 
     6.06492      5.79932 
     5.88786      5.54571 
     5.62239      5.63465 
     5.60661      5.49277 
     5.28201      5.31779 
      5.1802      5.29113 
     4.91442      5.27427 
     5.01664      4.94815 
     4.87756      4.94003 
     4.79083      5.03303 
     4.68223      4.77414 
     4.77431      4.77949 
     4.62543      4.80092 
     4.59635      4.91367 
     4.61475      5.18589 
     4.41806      4.95215 
     4.39846      4.83957 
     4.32683      4.71075 
     4.34864      4.76013 
     4.41528      4.76214 
