#      Train        Test
     10.0845      8.65469 
      8.6383      8.26961 
     7.98444      7.63705 
       7.496      7.44933 
     7.29731      6.75692 
     6.96477      6.93497 
     6.88175      6.47033 
     6.58951      6.76007 
     6.32146      6.61157 
     6.27207      6.15279 
     6.02132      5.94941 
     5.94642      5.88769 
     5.81602      6.21473 
      5.8285      5.84415 
     5.55116      6.32958 
       5.625       5.8793 
     5.37605      5.60963 
     5.30321      5.44786 
     5.24053      5.92699 
     5.24577      5.61828 
     5.09635      5.36101 
     5.07706      5.42808 
      4.9861      5.39379 
     5.02555      5.14455 
     4.86406       4.9963 
